Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
1.262563,0.897231,0.924063,0.949738,1.314946,1.290062,1.09689,1.06163,1.265544,1.509829,0.962072,1.788056,2.177866,1.026384,1.458148,1.453799,1.339246,1.12509,1.187464,1.029786,1.142961,1.485219,1.736424,2.476495
1.262614,0.910448,0.9355,0.938707,1.582095,1.621449,1.09922,1.064773,1.260188,1.48063,0.947817,1.779295,2.159939,1.023144,1.450385,1.517974,1.340956,1.222136,1.185038,1.034414,1.133136,1.480569,1.73125,2.428554
1.238004,0.900903,0.925726,0.93829,1.463275,1.58184,1.085452,1.048992,1.252074,1.51043,0.932858,1.757489,2.114372,1.027862,1.440091,1.588891,1.325019,1.229051,1.192791,1.044854,1.108918,1.465769,1.703648,2.410811
1.28139,0.942112,0.952761,0.975626,1.370733,1.465959,1.089497,1.063118,1.310057,1.514401,0.963227,1.734717,2.106278,1.047904,1.457491,1.528817,1.367946,1.213297,1.196732,1.056456,1.147641,1.482451,1.720236,2.429186
1.263115,0.933466,0.941878,0.958827,1.309925,1.32551,1.069948,1.045429,1.289048,1.492732,0.949634,1.716571,2.103281,1.030928,1.450921,1.451917,1.358178,1.165062,1.18874,1.026812,1.12385,1.453721,1.703138,2.385373
1.254184,0.918321,0.923242,0.954794,1.261719,1.305277,1.065133,1.063447,1.285669,1.480031,0.955902,1.723779,2.101227,1.032804,1.443401,1.428673,1.31572,1.12578,1.18949,1.032368,1.111331,1.456938,1.708679,2.340799
1.282701,0.935123,0.946765,0.974068,1.263968,1.244483,1.090442,1.060985,1.273663,1.47603,0.965508,1.741304,2.136193,1.031482,1.442453,1.428379,1.298354,1.123314,1.178897,1.031294,1.115135,1.464619,1.701042,2.348093
1.220499,0.876515,0.901246,0.917953,1.174255,1.163108,1.037936,1.021843,1.213211,1.43054,0.881542,1.690272,2.080848,0.990832,1.370463,1.364381,1.251269,1.064396,1.145645,1.002374,1.068346,1.417805,1.656605,2.30807
1.251265,0.932466,0.932443,0.983561,1.199338,1.176263,1.053595,1.059172,1.228875,1.469364,0.911426,1.704754,2.104133,1.019234,1.414364,1.390079,1.299115,1.091632,1.168009,1.033352,1.099453,1.465033,1.672812,2.343799
1.294183,0.941869,0.950781,1.000129,1.189904,1.18944,1.073272,1.078504,1.264844,1.450537,0.924713,1.702608,2.086104,1.03555,1.410373,1.396402,1.309973,1.114685,1.191065,1.051052,1.098247,1.467118,1.67572,2.334662
1.248367,0.922074,0.92709,0.976616,1.17571,1.15429,1.050162,1.056377,1.226596,1.394657,0.9089,1.674291,2.076285,1.000025,1.397372,1.374202,1.261427,1.128166,1.172496,1.019662,1.083432,1.458239,1.653159,2.358255
1.247289,0.922111,0.917358,0.960127,1.191955,1.139395,1.048115,1.046722,1.21349,1.384427,0.906586,1.663702,2.080585,1.000762,1.388506,1.38009,1.256467,1.098845,1.157242,1.010369,1.088622,1.422597,1.654245,2.33717
1.259884,0.931775,0.917795,0.968694,1.194921,1.166599,1.056888,1.04376,1.221436,1.400424,0.912714,1.654692,2.077869,1.003722,1.406244,1.39359,1.253655,1.113628,1.161008,1.030057,1.092731,1.433456,1.652079,2.337999
1.266578,0.945773,0.941276,0.968001,1.199956,1.199861,1.077574,1.052278,1.202004,1.41643,0.909978,1.669993,2.061926,1.015185,1.404583,1.380096,1.288533,1.126088,1.180156,1.028373,1.116111,1.429091,1.645049,2.284151
1.280876,0.956841,0.935692,0.97927,1.20938,1.189792,1.074614,1.062522,1.236675,1.403934,0.919613,1.633007,2.034671,1.036861,1.422228,1.392633,1.275929,1.142416,1.163805,1.03521,1.099872,1.451711,1.669609,2.281328
1.259747,0.952638,0.942279,0.994919,1.199798,1.149052,1.054155,1.058178,1.220131,1.399651,0.916601,1.618622,2.030403,1.019203,1.421052,1.389094,1.259895,1.144437,1.165059,1.030551,1.100462,1.44928,1.639415,2.259218
1.244344,0.941326,0.948061,0.963603,1.187569,1.132636,1.071584,1.043627,1.216316,1.389651,0.899687,1.59863,1.999478,1.011151,1.408831,1.370166,1.249867,1.115962,1.14637,1.020319,1.097929,1.423583,1.631086,2.212774
1.244844,0.950353,0.957216,0.980865,1.188505,1.164057,1.064059,1.052788,1.230857,1.406859,0.911314,1.595796,1.975081,1.017678,1.419148,1.400622,1.229465,1.132115,1.154066,1.033459,1.094765,1.442866,1.635452,2.131979
1.271421,0.95465,0.954388,1.02233,1.208757,1.182217,1.062802,1.06279,1.253021,1.408495,0.925588,1.590691,1.964948,1.027932,1.429478,1.401645,1.271802,1.141852,1.178749,1.027597,1.105733,1.453426,1.626191,2.059884
1.290402,0.96068,0.959374,0.999239,1.217483,1.170347,1.054942,1.051523,1.268339,1.403064,0.91041,1.571786,1.944097,1.016035,1.412458,1.390341,1.274468,1.151764,1.168558,1.02514,1.102397,1.437941,1.619562,2.058703
1.267378,0.95332,0.953002,0.994481,1.191417,1.191077,1.04162,1.052985,1.26551,1.386145,0.897861,1.641502,1.898307,1.01243,1.4127,1.369995,1.246449,1.157825,1.166793,1.036225,1.096891,1.433866,1.595939,2.077938
1.30572,0.964108,0.958912,0.980201,1.194612,1.185684,1.069372,1.060916,1.226463,1.378731,0.91339,1.570181,1.867594,1.018827,1.413439,1.374965,1.230581,1.122334,1.17201,1.041242,1.100538,1.427835,1.610163,2.091692
1.269351,0.951192,0.943523,0.988024,1.192824,1.143462,1.058417,1.054827,1.207426,1.364917,0.910778,1.53415,1.851563,1.013632,1.399541,1.374835,1.222705,1.098691,1.179596,1.022994,1.11014,1.434683,1.585912,2.107255
1.263016,0.940094,0.957629,0.984478,1.189834,1.152367,1.053834,1.050063,1.22661,1.347071,0.905083,1.510921,1.832735,1.004553,1.387144,1.367629,1.22514,1.109835,1.171575,1.026243,1.092756,1.408764,1.578416,2.090299
1.294974,0.955436,0.960478,1.001178,1.204642,1.147013,1.051274,1.03431,1.221925,1.352113,0.878394,1.511856,1.817317,1.006786,1.374729,1.350921,1.236995,1.105108,1.201292,1.029554,1.086849,1.398568,1.556854,2.071167
